Jugador,Nacionalidad,Posicion,Equipo,Competicion,Edad,Partidos jugados,Minutos jugados,Titularidades,Goles,Asistencias,Atajadas,Penales atajados,Penales convertidos,Penales ejecutados,Entradas (tackles),Tarjetas amarillas,Tarjetas rojas,Regates exitosos,Pases completados,Intercepciones,Nac_Esperada,Es_autoctono
Malang Sarr,fr FRA,DF,Lens,Ligue 1,26.0,20,1384,15,0,0,,,0,0,21,0,0,2,854,22,fr FRA,True
Mamadou Sarr,fr FRA,DF,Strasbourg,Ligue 1,19.0,26,2275,26,0,1,,,0,0,35,4,0,10,1533,24,fr FRA,True
Martin Satriano,uy URU,"FW,DF",Lens,Ligue 1,24.0,6,77,0,0,0,,,0,0,3,0,0,1,16,0,fr FRA,False
Razvan Sava,ro ROU,GK,Udinese,Serie A,22.0,12,1080,12,0,0,37.0,0.0,0,0,0,1,0,0,277,0,it ITA,False
Téji Savanier,fr FRA,MF,Montpellier,Ligue 1,33.0,29,2228,25,2,5,,,2,2,29,3,1,27,1010,14,fr FRA,True
Sávio,br BRA,"FW,MF",Manchester City,Premier League,21.0,28,1749,21,1,8,,,0,0,23,3,0,52,688,6,eng ENG,False
Nicolò Savona,it ITA,DF,Juventus,Serie A,22.0,27,1634,18,2,1,,,0,0,29,5,0,6,945,10,it ITA,True
Saba Sazonov,ge GEO,DF,Torino,Serie A,23.0,1,3,0,0,0,,,0,0,0,0,0,0,0,0,it ITA,False
Joe Scally,us USA,DF,Gladbach,Bundesliga,22.0,31,2554,30,0,0,,,0,0,44,6,0,31,1283,16,de GER,False
Giorgio Scalvini,it ITA,DF,Atalanta,Serie A,21.0,6,272,4,0,0,,,0,0,8,2,0,5,165,4,it ITA,True
Gianluca Scamacca,it ITA,FW,Atalanta,Serie A,26.0,1,6,0,0,0,,,0,0,0,0,0,0,1,0,it ITA,True
Oliver Scarles,eng ENG,DF,West Ham,Premier League,19.0,14,594,6,0,0,,,0,0,17,1,0,1,260,10,eng ENG,True
Dane Scarlett,eng ENG,"FW,MF",Tottenham,Premier League,21.0,3,34,0,0,1,,,0,0,1,0,0,0,3,0,eng ENG,True
Kevin Schade,de GER,FW,Brentford,Premier League,23.0,36,2140,24,11,2,,,0,0,36,3,0,30,298,5,eng ENG,False
András Schäfer,hu HUN,MF,Union Berlin,Bundesliga,26.0,25,1474,16,1,1,,,0,0,47,3,0,13,401,22,de GER,False
Fabian Schär,ch SUI,DF,Newcastle Utd,Premier League,33.0,32,2754,31,4,0,,,0,0,34,8,1,8,1558,41,eng ENG,False
Patrik Schick,cz CZE,FW,Leverkusen,Bundesliga,29.0,30,1594,18,19,0,,,0,0,6,4,0,10,277,4,de GER,False
Stefan Schimmer,de GER,"FW,MF",Heidenheim,Bundesliga,31.0,13,247,0,0,0,,,0,0,2,1,0,0,32,0,de GER,True
Joël Schingtienne,be BEL,DF,Venezia,Serie A,22.0,13,873,9,0,0,,,0,0,20,2,0,5,320,11,it ITA,False
Xaver Schlager,at AUT,MF,RB Leipzig,Bundesliga,27.0,4,181,2,0,0,,,0,0,4,1,0,1,85,0,de GER,False
Keven Schlotterbeck,de GER,DF,Augsburg,Bundesliga,28.0,18,1297,15,3,1,,,0,0,19,4,1,3,577,15,de GER,True
Nico Schlotterbeck,de GER,DF,Dortmund,Bundesliga,25.0,23,1982,23,0,4,,,0,0,38,7,2,14,1856,22,de GER,True
Jeffrey Schlupp,gh GHA,"MF,DF",Crystal Palace,Premier League,32.0,12,103,0,0,0,,,0,0,2,0,0,1,39,0,eng ENG,False
Romano Schmid,at AUT,MF,Werder Bremen,Bundesliga,25.0,31,2744,31,4,4,,,0,0,41,4,0,41,1186,11,de GER,False
Niklas Schmidt,de GER,MF,Toulouse,Ligue 1,27.0,9,205,2,0,1,,,0,0,6,0,0,0,142,1,fr FRA,False
Jan Schöppner,de GER,MF,Heidenheim,Bundesliga,25.0,32,2636,31,4,3,,,0,0,56,8,0,14,766,43,de GER,True
Marvin Schulz,de GER,"MF,DF",Holstein Kiel,Bundesliga,30.0,12,306,3,0,0,,,0,0,6,3,0,1,128,0,de GER,True
Alexander Schwolow,de GER,GK,Union Berlin,Bundesliga,32.0,5,450,5,0,0,12.0,0.0,0,0,0,0,0,0,122,0,de GER,True
Léo Scienza,br BRA,"FW,MF",Heidenheim,Bundesliga,26.0,24,1108,13,3,2,,,0,0,16,0,0,35,241,5,de GER,False
Alex Scott,eng ENG,MF,Bournemouth,Premier League,21.0,19,754,8,0,0,,,0,0,27,3,0,6,286,10,eng ENG,True
Simone Scuffet,it ITA,GK,Napoli,Serie A,28.0,1,90,1,0,0,3.0,0.0,0,0,0,0,0,0,35,0,it ITA,True
Jérémy Sebas,mq MTQ,"FW,MF",Strasbourg,Ligue 1,22.0,13,190,1,0,0,,,0,0,3,0,0,6,27,0,fr FRA,False
Aleksandar Sedlar,rs SRB,DF,Alavés,La Liga,33.0,8,516,6,0,0,,,0,0,17,1,1,0,170,9,es ESP,False
Jacopo Seghetti,it ITA,GK,Empoli,Serie A,20.0,1,90,1,0,0,3.0,0.0,0,0,0,0,0,0,14,0,it ITA,True
Alidu Seidu,gh GHA,DF,Rennes,Ligue 1,24.0,11,803,10,0,0,,,0,0,22,4,0,9,426,14,fr FRA,False
Nicolas Seiwald,at AUT,"MF,DF",RB Leipzig,Bundesliga,24.0,29,1994,19,0,0,,,0,0,51,2,0,4,1065,30,de GER,False
Hiroki Sekine,jp JPN,DF,Reims,Ligue 1,22.0,14,797,8,0,0,,,0,0,8,1,0,5,391,5,fr FRA,False
Matz Sels,be BEL,GK,Nott'ham Forest,Premier League,33.0,36,3240,36,0,0,114.0,0.0,0,0,1,4,0,0,485,0,eng ENG,False
Nélson Semedo,pt POR,DF,Wolves,Premier League,31.0,32,2751,31,0,4,,,0,0,59,7,0,30,1012,23,eng ENG,False
Antoine Semenyo,gh GHA,FW,Bournemouth,Premier League,25.0,35,3023,34,9,5,,,0,0,53,9,0,67,768,10,eng ENG,False
Marvin Senaya,tg TOG,DF,Strasbourg,Ligue 1,24.0,10,227,1,0,0,,,0,0,8,3,0,0,110,7,fr FRA,False
Marcos Senesi,ar ARG,DF,Bournemouth,Premier League,28.0,16,1029,12,0,0,,,0,0,36,5,0,5,500,11,eng ENG,False
Stefano Sensi,it ITA,MF,Monza,Serie A,29.0,10,241,2,1,0,,,1,1,8,0,0,4,203,3,it ITA,True
Suat Serdar,de GER,MF,Hellas Verona,Serie A,28.0,20,1206,14,1,1,,,0,0,30,4,1,17,335,8,it ITA,False
Sergi,es ESP,DF,Leganés,La Liga,33.0,33,2826,32,2,0,,,0,0,38,2,1,4,1211,39,es ESP,True
Nicolás Serrano,es ESP,FW,Athletic Club,La Liga,22.0,4,112,1,0,0,,,0,0,1,0,0,3,25,1,es ESP,True
Benjamin Šeško,si SVN,"FW,MF",RB Leipzig,Bundesliga,21.0,32,2376,30,13,5,,,2,2,7,2,1,39,414,5,de GER,False
Ryan Sessegnon,eng ENG,"FW,DF",Fulham,Premier League,24.0,14,552,7,4,2,,,0,0,27,1,0,5,177,3,eng ENG,True
Stephan El Shaarawy,it ITA,"DF,MF",Roma,Serie A,32.0,28,1066,12,3,3,,,0,0,16,2,0,17,384,10,it ITA,True
Luke Shaw,eng ENG,DF,Manchester Utd,Premier League,29.0,6,269,3,0,0,,,0,0,4,1,0,0,210,2,eng ENG,True
Alen Sherri,al ALB,GK,Cagliari,Serie A,27.0,6,540,6,0,0,16.0,0.0,0,0,1,0,0,0,149,0,it ITA,False
Eldor Shomurodov,uz UZB,"FW,MF",Roma,Serie A,29.0,24,859,8,4,4,,,0,0,11,1,0,5,186,2,it ITA,False
Djibril Sidibé,fr FRA,DF,Toulouse,Ligue 1,32.0,27,2030,23,0,3,,,0,0,62,1,0,11,982,19,fr FRA,True
Armindo Sieb,de GER,"FW,MF",Mainz 05,Bundesliga,22.0,27,762,5,2,2,,,0,0,10,2,0,11,136,1,de GER,True
Benjamin Siegrist,ch SUI,GK,Genoa,Serie A,33.0,1,90,1,0,0,8.0,0.0,0,0,0,0,0,0,23,0,it ITA,False
Vincent Sierro,ch SUI,MF,Toulouse,Ligue 1,29.0,28,2312,26,5,1,,,2,2,44,4,0,9,1023,15,fr FRA,False
Tim Siersleben,de GER,DF,Heidenheim,Bundesliga,25.0,15,1092,13,0,0,,,0,0,20,4,0,3,511,20,de GER,True
Zain Silcott-Duberry,ms MSR,FW,Bournemouth,Premier League,19.0,1,1,0,0,0,,,0,0,1,0,0,0,1,0,eng ENG,False
Kiliann Sildillia,fr FRA,DF,Freiburg,Bundesliga,22.0,21,801,8,2,0,,,0,0,17,2,0,6,336,11,de GER,False
André Silva,pt POR,"FW,MF",RB Leipzig,Bundesliga,29.0,8,132,0,1,2,,,1,1,1,0,0,0,30,1,de GER,False
Bernardo Silva,pt POR,"MF,FW",Manchester City,Premier League,30.0,31,2491,27,3,4,,,0,0,53,7,0,28,1433,20,eng ENG,False
Caio Henrique Oliveira Silva,br BRA,DF,Monaco,Ligue 1,27.0,26,1839,20,0,6,,,0,0,37,3,0,13,981,21,fr FRA,False
Fábio Silva,pt POR,FW,Las Palmas,La Liga,22.0,24,1866,22,10,3,,,2,3,12,7,0,21,309,4,es ESP,False
Jota Silva,pt POR,"FW,MF",Nott'ham Forest,Premier League,25.0,29,845,5,3,1,,,0,0,25,5,0,10,115,12,eng ENG,False
Eric da Silva Moreira,de GER,"MF,DF",Nott'ham Forest,Premier League,19.0,2,30,0,0,0,,,0,0,2,0,0,0,7,1,eng ENG,False
Rui Silva,pt POR,GK,Betis,La Liga,31.0,15,1350,15,0,0,37.0,0.0,0,0,0,1,0,0,412,0,es ESP,False
Marco Silvestri,it ITA,GK,Empoli,Serie A,34.0,5,450,5,0,0,17.0,0.0,0,0,0,0,0,0,94,0,it ITA,True
Abdallah Sima,sn SEN,"FW,MF",Brest,Ligue 1,23.0,26,1211,14,7,2,,,0,0,15,2,0,6,226,1,fr FRA,False
Mohamed Simakan,fr FRA,DF,RB Leipzig,Bundesliga,25.0,1,54,1,0,0,,,0,0,0,0,0,0,42,2,de GER,False
Giovanni Simeone,ar ARG,FW,Napoli,Serie A,29.0,28,393,1,1,1,,,0,0,2,1,0,6,75,1,it ITA,False
Giuliano Simeone,ar ARG,MF,Atlético Madrid,La Liga,22.0,30,1773,24,2,6,,,0,0,24,4,0,29,563,12,es ESP,False
Moses Simon,ng NGA,"FW,MF",Nantes,Ligue 1,29.0,31,2523,30,7,9,,,3,3,20,2,0,63,490,12,fr FRA,False
Unai Simón,es ESP,GK,Athletic Club,La Liga,27.0,18,1620,18,0,0,43.0,1.0,0,0,0,0,0,0,392,1,es ESP,True
Xavi Simons,nl NED,MF,RB Leipzig,Bundesliga,22.0,24,2060,24,9,6,,,0,0,26,5,0,31,903,12,de GER,False
Jahmai Simpson-Pusey,eng ENG,DF,Manchester City,Premier League,19.0,2,96,1,0,0,,,0,0,1,1,0,0,107,0,eng ENG,True
Danel Sinani,lu LUX,"FW,MF",St. Pauli,Bundesliga,28.0,25,1187,13,2,2,,,0,0,14,3,0,9,358,1,de GER,False
Lassine Sinayoko,ml MLI,"FW,MF",Auxerre,Ligue 1,25.0,33,2216,24,4,8,,,1,1,33,5,0,27,507,12,fr FRA,False
Wilfried Singo,ci CIV,DF,Monaco,Ligue 1,24.0,26,2006,22,1,2,,,0,0,37,4,0,6,1176,42,fr FRA,False
Luis Sinisterra,co COL,"FW,MF",Bournemouth,Premier League,25.0,12,236,1,1,1,,,0,0,7,0,0,8,73,1,eng ENG,False
Daley Sinkgraven,nl NED,DF,Las Palmas,La Liga,29.0,2,91,1,0,0,,,0,0,5,0,0,1,50,1,es ESP,False
Tobias Sippel,de GER,GK,Gladbach,Bundesliga,37.0,1,59,0,0,0,1.0,0.0,0,0,0,0,0,0,20,0,de GER,True
Jailson Siqueira,br BRA,"DF,MF",Celta Vigo,La Liga,29.0,13,614,6,0,0,,,0,0,13,2,0,3,435,9,es ESP,False
Ayanda Sishuba,be BEL,FW,Rennes,Ligue 1,20.0,1,3,0,0,0,,,0,0,1,0,0,0,0,0,fr FRA,False
Ibrahim Sissoko,ml MLI,FW,Saint-Étienne,Ligue 1,29.0,20,819,8,3,1,,,1,1,11,1,0,3,118,2,fr FRA,False
Ibrahima Sissoko,ml MLI,MF,Bochum,Bundesliga,27.0,31,2554,29,2,1,,,0,0,64,11,1,32,781,36,de GER,False
Niama Sissoko,ml MLI,"FW,MF",Reims,Ligue 1,19.0,4,47,0,0,0,,,0,0,0,0,0,0,7,0,fr FRA,False
Antonio Sivera,es ESP,GK,Alavés,La Liga,28.0,29,2540,29,0,0,67.0,0.0,0,0,2,6,1,0,484,0,es ESP,True
Tim Skarke,de GER,"FW,MF",Union Berlin,Bundesliga,28.0,32,1085,10,0,2,,,0,0,14,1,0,10,228,5,de GER,True
Ellyes Skhiri,tn TUN,MF,Eint Frankfurt,Bundesliga,30.0,29,2149,25,0,2,,,0,0,36,6,0,11,1129,29,de GER,False
Oliver Skipp,eng ENG,MF,Leicester City,Premier League,24.0,22,1055,9,0,0,,,0,0,20,8,0,7,407,10,eng ENG,True
Leo Skiri Østigård,no NOR,DF,Hoffenheim,Bundesliga,25.0,10,837,10,0,0,,,0,0,8,0,1,2,453,8,de GER,False
Łukasz Skorupski,pl POL,GK,Bologna,Serie A,34.0,26,2274,26,0,0,48.0,1.0,0,0,1,1,0,1,812,0,it ITA,False
Andreas Skov Olsen,dk DEN,"FW,MF",Wolfsburg,Bundesliga,25.0,11,507,4,1,1,,,0,0,8,0,0,4,210,2,de GER,False
Robert Skov,dk DEN,"DF,MF",Union Berlin,Bundesliga,28.0,15,852,11,2,2,,,1,1,15,1,0,5,305,8,de GER,False
Milan Škriniar,sk SVK,DF,Paris S-G,Ligue 1,30.0,5,382,4,0,0,,,0,0,7,1,0,0,361,3,fr FRA,False
Steven Skrzybski,de GER,"MF,FW",Holstein Kiel,Bundesliga,32.0,23,1278,14,6,3,,,1,1,18,0,0,13,304,11,de GER,True
Naatan Skyttä,fi FIN,FW,Toulouse,Ligue 1,23.0,1,5,0,0,0,,,0,0,1,0,0,0,4,0,fr FRA,False
William Smallbone,ie IRL,MF,Southampton,Premier League,25.0,16,647,6,1,0,,,0,0,18,1,0,4,257,2,eng ENG,False
Adam Smith,eng ENG,DF,Bournemouth,Premier League,34.0,23,1478,18,0,0,,,0,0,22,7,0,6,455,14,eng ENG,True
Eric Smith,se SWE,"DF,MF",St. Pauli,Bundesliga,28.0,31,2737,31,1,1,,,0,0,46,7,0,3,1282,37,de GER,False
Justin Smith,ca CAN,MF,Espanyol,La Liga,22.0,5,209,3,0,0,,,0,0,9,0,0,1,40,4,es ESP,False
Emile Smith Rowe,eng ENG,MF,Fulham,Premier League,24.0,32,1948,24,6,3,,,0,0,31,2,0,16,881,11,eng ENG,True
Ivan Smolčić,hr CRO,DF,Como,Serie A,24.0,8,540,6,0,0,,,0,0,15,2,0,0,287,10,it ITA,False
Eduard Sobol,ua UKR,DF,Strasbourg,Ligue 1,30.0,10,95,0,0,0,,,0,0,0,2,0,0,22,2,fr FRA,False
Simon Sohm,ch SUI,MF,Parma,Serie A,24.0,35,2822,34,4,0,,,0,0,27,6,0,12,1004,25,it ITA,False
Alex Sola,es ESP,"MF,FW",Getafe,La Liga,25.0,19,1029,13,0,1,,,0,0,21,4,0,21,155,7,es ESP,True
Arnau Solà,es ESP,MF,Villarreal,La Liga,22.0,1,13,0,0,0,,,0,0,0,0,0,0,1,0,es ESP,True
Dominic Solanke,eng ENG,FW,Tottenham,Premier League,27.0,25,2119,24,8,3,,,0,0,18,0,0,16,250,0,eng ENG,True
Ola Solbakken,no NOR,"MF,FW",Empoli,Serie A,26.0,20,743,8,0,0,,,0,0,7,1,0,6,133,2,it ITA,False
Carlos Soler,es ESP,"MF,FW",West Ham,Premier League,28.0,30,1376,14,1,1,,,0,0,15,5,0,8,547,8,eng ENG,False
Julio Soler,ar ARG,FW,Bournemouth,Premier League,20.0,1,2,0,0,0,,,0,0,1,0,0,0,0,0,eng ENG,False
Oumar Solet,fr FRA,DF,Udinese,Serie A,25.0,17,1492,17,1,1,,,0,0,32,3,1,24,935,17,it ITA,False
Jhon Solis,co COL,MF,Girona,La Liga,20.0,16,473,2,1,0,,,0,0,10,2,0,5,245,4,es ESP,False
Yann Sommer,ch SUI,GK,Inter,Serie A,36.0,31,2790,31,0,0,78.0,1.0,0,0,0,0,0,0,1075,0,it ITA,False
David Soria,es ESP,GK,Getafe,La Liga,32.0,35,3150,35,0,0,80.0,1.0,0,0,4,2,0,0,475,1,es ESP,True
Juan Soriano,es ESP,GK,Leganés,La Liga,27.0,6,540,6,0,0,19.0,0.0,0,0,1,1,1,0,98,0,es ESP,True
Borna Sosa,hr CRO,DF,Torino,Serie A,27.0,19,1181,14,0,0,,,0,0,26,0,0,3,546,14,it ITA,False
Ramón Sosa,py PAR,"FW,MF",Nott'ham Forest,Premier League,25.0,19,295,1,1,0,,,0,0,5,1,0,8,66,4,eng ENG,False
Hugo Sotelo,es ESP,MF,Celta Vigo,La Liga,21.0,22,1252,15,0,0,,,0,0,28,4,0,8,872,5,es ESP,True
Florian Sotoca,fr FRA,"FW,MF",Lens,Ligue 1,34.0,30,1783,22,1,1,,,0,0,22,2,1,16,723,14,fr FRA,True
Riccardo Sottil,it ITA,"FW,MF",Milan,Serie A,25.0,5,116,1,0,0,,,0,0,1,0,0,1,38,0,it ITA,True
Tomáš Souček,cz CZE,MF,West Ham,Premier League,30.0,33,2420,28,9,1,,,0,0,43,8,0,6,678,19,eng ENG,False
Matìas Soulé,ar ARG,"MF,FW",Roma,Serie A,22.0,24,1525,19,5,2,,,0,0,23,3,0,28,672,8,it ITA,False
Boubakary Soumaré,fr FRA,MF,Leicester City,Premier League,26.0,29,1991,23,0,0,,,0,0,33,8,0,27,998,25,eng ENG,False
Issa Soumaré,sn SEN,"FW,MF",Le Havre,Ligue 1,24.0,28,1812,20,5,3,,,0,0,23,0,0,16,323,16,fr FRA,False
Djibril Sow,ch SUI,MF,Sevilla,La Liga,28.0,27,1861,21,1,1,,,0,0,21,5,0,8,802,22,es ESP,False
Saidou Sow,gn GUI,DF,Nantes,Ligue 1,22.0,9,799,9,1,0,,,0,0,17,1,0,4,332,13,fr FRA,False
Djed Spence,eng ENG,DF,Tottenham,Premier League,24.0,23,1694,18,1,2,,,0,0,45,4,1,36,962,20,eng ENG,True
Leonardo Spinazzola,it ITA,"DF,FW",Napoli,Serie A,32.0,25,1348,15,1,1,,,0,0,15,1,0,25,628,8,it ITA,True
Marco Sportiello,it ITA,GK,Milan,Serie A,33.0,2,126,1,0,0,4.0,0.0,0,0,0,0,0,0,51,0,it ITA,True
Anton Stach,de GER,"MF,DF",Hoffenheim,Bundesliga,26.0,29,2504,28,1,2,,,0,0,63,8,0,15,1246,45,de GER,True
Jens Stage,dk DEN,MF,Werder Bremen,Bundesliga,28.0,27,2133,25,9,5,,,0,0,45,9,0,8,738,18,de GER,False
Josip Stanišić,hr CRO,DF,Bayern Munich,Bundesliga,25.0,13,786,8,0,2,,,0,0,12,0,0,5,625,5,de GER,False
Filip Stankovic,rs SRB,GK,Venezia,Serie A,23.0,16,1367,16,0,0,60.0,1.0,0,0,0,1,0,0,372,0,it ITA,False
Jay Stansfield,eng ENG,MF,Fulham,Premier League,22.0,1,1,0,0,0,,,0,0,0,0,0,0,0,0,eng ENG,True
Carl Starfelt,se SWE,DF,Celta Vigo,La Liga,29.0,28,2270,26,1,0,,,0,0,40,5,0,1,1539,31,es ESP,False
Niklas Stark,de GER,DF,Werder Bremen,Bundesliga,30.0,25,2016,24,0,1,,,0,0,33,6,1,1,1073,34,de GER,True
Lucas Stassin,be BEL,FW,Saint-Étienne,Ligue 1,20.0,27,1797,22,10,4,,,0,0,16,4,0,15,350,3,fr FRA,False
Jason Steele,eng ENG,GK,Brighton,Premier League,34.0,2,180,2,0,0,3.0,0.0,0,0,0,0,0,0,101,0,eng ENG,True
Orri Steinn Óskarsson,is ISL,FW,Real Sociedad,La Liga,20.0,23,944,9,3,0,,,0,0,6,1,0,2,104,2,es ESP,False
Pascal Stenzel,de GER,DF,Stuttgart,Bundesliga,29.0,10,290,4,0,0,,,0,0,3,0,0,0,180,2,de GER,True
Jack Stephens,eng ENG,DF,Southampton,Premier League,31.0,18,1299,16,1,0,,,0,0,32,2,2,0,805,11,eng ENG,True
Leonidas Stergiou,ch SUI,DF,Stuttgart,Bundesliga,23.0,12,852,11,1,2,,,0,0,24,0,1,4,440,14,de GER,False
Raheem Sterling,eng ENG,"FW,MF",Arsenal,Premier League,30.0,16,437,6,0,2,,,0,0,8,1,0,9,141,1,eng ENG,True
Enzo Sternal,fr FRA,"FW,MF",Marseille,Ligue 1,17.0,2,24,0,0,0,,,0,0,0,1,0,1,7,0,fr FRA,True
Finley Stevens,wls WAL,DF,St. Pauli,Bundesliga,22.0,1,1,0,0,0,,,0,0,0,0,0,0,1,0,de GER,False
Ross Stewart,sct SCO,FW,Southampton,Premier League,28.0,10,289,3,0,0,,,0,0,3,1,0,1,50,0,eng ENG,False
Angelo Stiller,de GER,MF,Stuttgart,Bundesliga,24.0,32,2741,31,1,8,,,0,0,49,6,0,20,2219,26,de GER,True
Kevin Stöger,at AUT,MF,Gladbach,Bundesliga,31.0,30,1527,16,3,3,,,2,2,37,3,0,16,835,16,de GER,False
Stoichkov,es ESP,"MF,FW",Alavés,La Liga,31.0,16,699,6,0,1,,,0,0,14,1,0,6,132,1,es ESP,True
Petar Stojanović,si SVN,MF,Empoli,Serie A,29.0,1,3,0,0,0,,,0,0,0,0,0,0,1,0,it ITA,False
Jakub Stolarczyk,pl POL,GK,Leicester City,Premier League,24.0,8,720,8,0,0,21.0,0.0,0,0,2,1,0,0,200,0,eng ENG,False
John Stones,eng ENG,"DF,MF",Manchester City,Premier League,30.0,11,548,6,2,0,,,0,0,6,1,0,2,367,4,eng ENG,True
Jørgen Strand Larsen,no NOR,FW,Wolves,Premier League,25.0,33,2495,29,13,2,,,0,0,9,4,0,7,275,6,eng ENG,False
Gabriel Strefezza,br BRA,"FW,MF",Como,Serie A,28.0,35,2439,30,6,4,,,0,0,56,4,0,35,823,13,it ITA,False
Cristhian Stuani,uy URU,FW,Girona,La Liga,38.0,29,902,4,9,2,,,3,3,8,3,0,2,84,5,es ESP,False
Álex Suárez,es ESP,DF,Las Palmas,La Liga,32.0,29,2391,29,0,0,,,0,0,39,12,0,0,1131,12,es ESP,True
Denis Suárez,es ESP,MF,Villarreal,La Liga,31.0,20,528,6,1,1,,,0,0,9,0,0,9,179,1,es ESP,True
Gabriel Suazo,cl CHI,DF,Toulouse,Ligue 1,27.0,30,2163,23,0,6,,,0,0,59,0,0,25,994,36,fr FRA,False
Luka Sučić,hr CRO,MF,Real Sociedad,La Liga,22.0,26,1662,20,1,1,,,0,0,24,3,0,24,670,13,es ESP,False
Yukinari Sugawara,jp JPN,"DF,MF",Southampton,Premier League,24.0,29,1467,15,1,1,,,0,0,29,4,0,9,689,10,eng ENG,False
Niklas Süle,de GER,DF,Dortmund,Bundesliga,29.0,14,975,11,0,0,,,0,0,14,1,0,3,786,4,de GER,True
Ibrahim Sulemana,gh GHA,MF,Atalanta,Serie A,21.0,6,123,1,0,0,,,0,0,5,1,0,0,99,0,it ITA,False
Kamaldeen Sulemana,gh GHA,"FW,MF",Southampton,Premier League,23.0,24,1265,15,1,1,,,0,0,17,2,0,34,262,6,eng ENG,False
Crysencio Summerville,nl NED,"FW,MF",West Ham,Premier League,23.0,19,786,7,1,1,,,0,0,13,2,0,13,194,0,eng ENG,False
Tomáš Suslov,sk SVK,"MF,FW",Hellas Verona,Serie A,22.0,30,2021,26,0,1,,,0,0,52,7,1,36,381,18,it ITA,False
Suso,es ESP,"FW,MF",Sevilla,La Liga,31.0,13,353,1,0,1,,,0,0,5,2,0,11,182,2,es ESP,True
Zion Suzuki,jp JPN,GK,Parma,Serie A,22.0,35,3134,35,0,0,95.0,0.0,0,0,1,2,1,0,961,0,it ITA,False
Mattias Svanberg,se SWE,MF,Wolfsburg,Bundesliga,26.0,20,1219,14,3,1,,,0,0,20,4,0,10,259,15,de GER,False
Daniel Svensson,se SWE,"DF,FW",Dortmund,Bundesliga,23.0,11,691,7,1,2,,,0,0,12,0,0,1,328,4,de GER,False
Marin Šverko,hr CRO,DF,Venezia,Serie A,27.0,15,1041,11,1,0,,,0,0,17,3,0,6,479,16,it ITA,False
Mile Svilar,rs SRB,GK,Roma,Serie A,25.0,35,3150,35,0,0,110.0,0.0,0,0,0,1,0,0,1052,0,it ITA,False
Michael Svoboda,at AUT,DF,Venezia,Serie A,26.0,16,1314,15,1,0,,,0,0,26,1,0,2,703,22,it ITA,False
Williot Swedberg,se SWE,"FW,MF",Celta Vigo,La Liga,21.0,29,1238,14,4,4,,,0,0,19,1,0,8,251,3,es ESP,False
Abakar Sylla,ci CIV,DF,Strasbourg,Ligue 1,22.0,21,950,10,1,0,,,0,0,27,2,1,3,583,11,fr FRA,False
Issiaga Sylla,gn GUI,DF,Montpellier,Ligue 1,31.0,18,1111,15,1,0,,,0,0,25,2,0,9,435,10,fr FRA,False
Mamadou Sylla,sn SEN,"FW,MF",Valladolid,La Liga,31.0,27,1487,16,5,1,,,4,4,6,5,0,5,162,3,es ESP,False
Wojciech Szczęsny,pl POL,GK,Barcelona,La Liga,35.0,14,1260,14,0,0,20.0,0.0,0,0,1,0,0,1,379,0,es ESP,False
Sammie Szmodics,ie IRL,"FW,MF",Ipswich Town,Premier League,29.0,19,979,13,4,0,,,0,0,15,2,0,4,144,6,eng ENG,False
Dominik Szoboszlai,hu HUN,MF,Liverpool,Premier League,24.0,34,2369,27,5,6,,,0,0,33,6,0,20,1056,9,eng ENG,False
Alexander Sørloth,no NOR,FW,Atlético Madrid,La Liga,29.0,32,1402,13,17,2,,,1,1,8,4,0,14,205,1,es ESP,False
Musa Al-Taamari,jo JOR,"FW,MF",Rennes,Ligue 1,27.0,11,567,7,1,0,,,0,0,4,1,0,7,108,2,fr FRA,False
Haris Tabakovic,ba BIH,FW,Hoffenheim,Bundesliga,30.0,22,821,6,3,1,,,0,0,3,0,0,4,134,1,de GER,False
Nicolás Tagliafico,ar ARG,DF,Lyon,Ligue 1,32.0,23,1812,21,3,1,,,0,0,54,7,0,1,1103,34,fr FRA,False
Jonathan Tah,de GER,DF,Leverkusen,Bundesliga,29.0,32,2880,32,3,0,,,0,0,17,2,0,3,2118,34,de GER,True
Adrien Tameze,cm CMR,"MF,DF",Torino,Serie A,31.0,20,649,9,0,0,,,0,0,5,3,0,4,259,10,it ITA,False
Axel Tapé,fr FRA,"DF,MF",Paris S-G,Ligue 1,17.0,2,180,2,0,0,,,0,0,3,1,0,1,142,1,fr FRA,True
Renato Tapia,pe PER,"MF,DF",Leganés,La Liga,29.0,31,2182,25,1,0,,,0,0,56,7,0,17,726,23,es ESP,False
Edmond Tapsoba,bf BFA,DF,Leverkusen,Bundesliga,26.0,28,2417,28,0,0,,,0,0,37,4,0,11,1672,24,de GER,False
Florian Tardieu,fr FRA,MF,Saint-Étienne,Ligue 1,33.0,22,1072,11,1,4,,,0,0,17,0,0,2,793,14,fr FRA,True
Mehdi Taremi,ir IRN,FW,Inter,Serie A,32.0,24,689,5,1,1,,,1,1,5,1,0,6,168,0,it ITA,False
Matt Targett,eng ENG,DF,Newcastle Utd,Premier League,29.0,2,21,0,0,0,,,0,0,0,0,0,0,14,1,eng ENG,True
Oussama Targhalline,ma MAR,MF,Le Havre,Ligue 1,22.0,14,990,12,0,0,,,0,0,19,0,0,5,348,19,fr FRA,False
