Jugador,Nacionalidad,Posicion,Equipo,Competicion,Edad,Partidos jugados,Minutos jugados,Titularidades,Goles,Asistencias,Atajadas,Penales atajados,Penales convertidos,Penales ejecutados,Entradas (tackles),Tarjetas amarillas,Tarjetas rojas,Regates exitosos,Pases completados,Intercepciones,Nac_Esperada,Es_autoctono
Danilo,br BRA,"MF,FW",Nott'ham Forest,Premier League,24.0,7,267,5,0,0,,,0,0,6,0,0,3,89,3,eng ENG,False
Danilo,br BRA,DF,Juventus,Serie A,33.0,12,581,6,0,1,,,0,0,10,2,0,0,519,9,it ITA,False
Arnaut Danjuma,nl NED,"FW,MF",Girona,La Liga,28.0,23,1310,15,2,0,,,0,0,8,2,0,24,310,2,es ESP,False
Jayden Danns,eng ENG,MF,Liverpool,Premier League,19.0,1,11,0,0,0,,,0,0,0,0,0,0,1,0,eng ENG,True
Kévin Danois,fr FRA,MF,Auxerre,Ligue 1,20.0,22,1460,16,0,0,,,0,0,49,1,0,21,585,20,fr FRA,True
Kevin Danso,at AUT,DF,Lens,Ligue 1,26.0,12,1080,12,0,0,,,0,0,19,3,0,1,659,20,fr FRA,False
Dante,br BRA,DF,Nice,Ligue 1,41.0,24,1874,20,0,0,,,0,0,30,5,1,6,1215,32,fr FRA,False
Pape Daouda Diongue,sn SEN,"MF,FW",Strasbourg,Ligue 1,,9,78,1,1,0,,,0,0,2,0,0,0,47,3,fr FRA,False
Mohamed Daramy,dk DEN,FW,Reims,Ligue 1,23.0,2,16,0,0,0,,,0,0,0,0,0,0,4,0,fr FRA,False
Bence Dárdai,hu HUN,MF,Wolfsburg,Bundesliga,19.0,20,1288,16,1,1,,,0,0,24,0,0,3,356,12,de GER,False
Sergi Darder,es ESP,"MF,FW",Mallorca,La Liga,31.0,35,2481,31,2,5,,,0,0,38,4,0,30,881,14,es ESP,True
Matteo Darmian,it ITA,DF,Inter,Serie A,35.0,28,1691,19,3,2,,,0,0,27,3,0,4,781,10,it ITA,True
Lukas Daschner,de GER,"MF,FW",Bochum,Bundesliga,26.0,14,412,3,1,1,,,0,1,4,0,0,5,93,0,de GER,True
Juan David Cabal,co COL,DF,Juventus,Serie A,24.0,7,460,6,0,0,,,0,0,10,0,0,4,307,2,it ITA,False
Jonathan David,ca CAN,FW,Lille,Ligue 1,25.0,31,2482,27,16,5,,,6,7,23,4,0,20,548,6,fr FRA,False
Alphonso Davies,ca CAN,DF,Bayern Munich,Bundesliga,24.0,19,1560,17,1,2,,,0,0,30,0,0,31,1141,13,de GER,False
Ben Davies,wls WAL,DF,Tottenham,Premier League,32.0,15,1216,13,0,0,,,0,0,16,4,0,1,848,12,eng ENG,False
